"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Nova Scotia","","Total sales","Beer","Litres","203","thousands","3","v28463271","4.1.4","2975","","","","0"
"1991","Nova Scotia","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463272","4.2.1","7.6","","","","1"
"1991","Nova Scotia","","Total per capita sales","Spirits","Litres","203","units ","0","v28463273","4.2.2","2.8","","","","1"
"1991","Nova Scotia","","Total per capita sales","Wine","Litres","203","units ","0","v28463274","4.2.3","0.7","","","","1"
"1991","Nova Scotia","","Total per capita sales","Beer","Litres","203","units ","0","v28463275","4.2.4","4.1","","","","1"
"1991","New Brunswick","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463276","5.1.1","3806","","","","0"
"1991","New Brunswick","","Total sales","Spirits","Litres","203","thousands","3","v28463277","5.1.2","1136","","","","0"
"1991","New Brunswick","","Total sales","Wine","Litres","203","thousands","3","v28463278","5.1.3","346","","","","0"
"1991","New Brunswick","","Total sales","Beer","Litres","203","thousands","3","v28463279","5.1.4","2324","","","","0"
"1991","New Brunswick","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463280","5.2.1","6.4","","","","1"
"1991","New Brunswick","","Total per capita sales","Spirits","Litres","203","units ","0","v28463281","5.2.2","1.9","","","","1"
"1991","New Brunswick","","Total per capita sales","Wine","Litres","203","units ","0","v28463282","5.2.3","0.6","","","","1"
"1991","New Brunswick","","Total per capita sales","Beer","Litres","203","units ","0","v28463283","5.2.4","3.9","","","","1"
"1991","Quebec","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463284","6.1.1","41691","","","","0"
"1991","Quebec","","Total sales","Spirits","Litres","203","thousands","3","v28463285","6.1.2","6355","","","","0"
"1991","Quebec","","Total sales","Wine","Litres","203","thousands","3","v28463286","6.1.3","8326","","","","0"
"1991","Quebec","","Total sales","Beer","Litres","203","thousands","3","v28463287","6.1.4","27010","","","","0"
"1991","Quebec","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463288","6.2.1","7.4","","","","1"
"1991","Quebec","","Total per capita sales","Spirits","Litres","203","units ","0","v28463289","6.2.2","1.1","","","","1"
"1991","Quebec","","Total per capita sales","Wine","Litres","203","units ","0","v28463290","6.2.3","1.5","","","","1"
"1991","Quebec","","Total per capita sales","Beer","Litres","203","units ","0","v28463291","6.2.4","4.8","","","","1"
"1991","Ontario","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463292","7.1.1","70161","","","","0"
"1991","Ontario","","Total sales","Spirits","Litres","203","thousands","3","v28463293","7.1.2","20496","","","","0"
"1991","Ontario","","Total sales","Wine","Litres","203","thousands","3","v28463294","7.1.3","9000","","","","0"
"1991","Ontario","","Total sales","Beer","Litres","203","thousands","3","v28463295","7.1.4","40665","","","","0"
"1991","Ontario","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463296","7.2.1","8.4","","","","1"
"1991","Ontario","","Total per capita sales","Spirits","Litres","203","units ","0","v28463297","7.2.2","2.5","","","","1"
"1991","Ontario","","Total per capita sales","Wine","Litres","203","units ","0","v28463298","7.2.3","1.1","","","","1"
"1991","Ontario","","Total per capita sales","Beer","Litres","203","units ","0","v28463299","7.2.4","4.9","","","","1"
"1991","Manitoba","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463300","8.1.1","6597","","","","0"
"1991","Manitoba","","Total sales","Spirits","Litres","203","thousands","3","v28463301","8.1.2","2439","","","","0"
"1991","Manitoba","","Total sales","Wine","Litres","203","thousands","3","v28463302","8.1.3","611","","","","0"
"1991","Manitoba","","Total sales","Beer","Litres","203","thousands","3","v28463303","8.1.4","3547","","","","0"
"1991","Manitoba","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463304","8.2.1","7.6","","","","1"
"1991","Manitoba","","Total per capita sales","Spirits","Litres","203","units ","0","v28463305","8.2.2","2.8","","","","1"
"1991","Manitoba","","Total per capita sales","Wine","Litres","203","units ","0","v28463306","8.2.3","0.7","","","","1"
"1991","Manitoba","","Total per capita sales","Beer","Litres","203","units ","0","v28463307","8.2.4","4.1","","","","1"
"1991","Saskatchewan","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463308","9.1.1","5472","","","","0"
"1991","Saskatchewan","","Total sales","Spirits","Litres","203","thousands","3","v28463309","9.1.2","2319","","","","0"
"1991","Saskatchewan","","Total sales","Wine","Litres","203","thousands","3","v28463310","9.1.3","415","","","","0"
"1991","Saskatchewan","","Total sales","Beer","Litres","203","thousands","3","v28463311","9.1.4","2738","","","","0"
"1991","Saskatchewan","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463312","9.2.1","7.2","","","","1"
"1991","Saskatchewan","","Total per capita sales","Spirits","Litres","203","units ","0","v28463313","9.2.2","3.0","","","","1"
"1991","Saskatchewan","","Total per capita sales","Wine","Litres","203","units ","0","v28463314","9.2.3","0.5","","","","1"
"1991","Saskatchewan","","Total per capita sales","Beer","Litres","203","units ","0","v28463315","9.2.4","3.6","","","","1"
"1991","Alberta","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463316","10.1.1","17753","","","","0"
"1991","Alberta","","Total sales","Spirits","Litres","203","thousands","3","v28463317","10.1.2","6878","","","","0"
"1991","Alberta","","Total sales","Wine","Litres","203","thousands","3","v28463318","10.1.3","2013","","","","0"
"1991","Alberta","","Total sales","Beer","Litres","203","thousands","3","v28463319","10.1.4","8862","","","","0"
"1991","Alberta","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463320","10.2.1","9.0","","","","1"
"1991","Alberta","","Total per capita sales","Spirits","Litres","203","units ","0","v28463321","10.2.2","3.5","","","","1"
"1991","Alberta","","Total per capita sales","Wine","Litres","203","units ","0","v28463322","10.2.3","1.0","","","","1"
"1991","Alberta","","Total per capita sales","Beer","Litres","203","units ","0","v28463323","10.2.4","4.5","","","","1"
"1991","British Columbia","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463324","11.1.1","25190","","","","0"
"1991","British Columbia","","Total sales","Spirits","Litres","203","thousands","3","v28463325","11.1.2","7770","","","","0"
"1991","British Columbia","","Total sales","Wine","Litres","203","thousands","3","v28463326","11.1.3","4682","","","","0"
"1991","British Columbia","","Total sales","Beer","Litres","203","thousands","3","v28463327","11.1.4","12738","","","","0"
"1991","British Columbia","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463328","11.2.1","9.3","","","","1"
"1991","British Columbia","","Total per capita sales","Spirits","Litres","203","units ","0","v28463329","11.2.2","2.9","","","","1"
"1991","British Columbia","","Total per capita sales","Wine","Litres","203","units ","0","v28463330","11.2.3","1.7","","","","1"
"1991","British Columbia","","Total per capita sales","Beer","Litres","203","units ","0","v28463331","11.2.4","4.7","","","","1"
"1991","Yukon","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463332","12.1.1","309","","","","0"
"1991","Yukon","","Total sales","Spirits","Litres","203","thousands","3","v28463333","12.1.2","94","","","","0"
"1991","Yukon","","Total sales","Wine","Litres","203","thousands","3","v28463334","12.1.3","36","","","","0"
"1991","Yukon","","Total sales","Beer","Litres","203","thousands","3","v28463335","12.1.4","179","","","","0"
"1991","Yukon","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463336","12.2.1","14.1","","","","1"
"1991","Yukon","","Total per capita sales","Spirits","Litres","203","units ","0","v28463337","12.2.2","4.3","","","","1"
"1991","Yukon","","Total per capita sales","Wine","Litres","203","units ","0","v28463338","12.2.3","1.6","","","","1"
"1991","Yukon","","Total per capita sales","Beer","Litres","203","units ","0","v28463339","12.2.4","8.2","","","","1"
"1991","Northwest Territories including Nunavut","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463340","13.1.1","397","","","","0"
"1991","Northwest Territories including Nunavut","","Total sales","Spirits","Litres","203","thousands","3","v28463341","13.1.2","171","","","","0"
"1991","Northwest Territories including Nunavut","","Total sales","Wine","Litres","203","thousands","3","v28463342","13.1.3","28","","","","0"
"1991","Northwest Territories including Nunavut","","Total sales","Beer","Litres","203","thousands","3","v28463343","13.1.4","198","","","","0"
"1991","Northwest Territories including Nunavut","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463344","13.2.1","9.6","","","","1"
"1991","Northwest Territories including Nunavut","","Total per capita sales","Spirits","Litres","203","units ","0","v28463345","13.2.2","4.1","","","","1"
"1991","Northwest Territories including Nunavut","","Total per capita sales","Wine","Litres","203","units ","0","v28463346","13.2.3","0.7","","","","1"
"1991","Northwest Territories including Nunavut","","Total per capita sales","Beer","Litres","203","units ","0","v28463347","13.2.4","4.8","","","","1"
"1992","Canada","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463244","1.1.1","176556","","","","0"
"1992","Canada","","Total sales","Spirits","Litres","203","thousands","3","v28463245","1.1.2","48633","","","","0"
"1992","Canada","","Total sales","Wine","Litres","203","thousands","3","v28463246","1.1.3","25676","","","","0"
"1992","Canada","","Total sales","Beer","Litres","203","thousands","3","v28463247","1.1.4","102247","","","","0"
"1992","Canada","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463248","1.2.1","7.8","","","","1"
"1992","Canada","","Total per capita sales","Spirits","Litres","203","units ","0","v28463249","1.2.2","2.2","","","","1"
"1992","Canada","","Total per capita sales","Wine","Litres","203","units ","0","v28463250","1.2.3","1.1","","","","1"
"1992","Canada","","Total per capita sales","Beer","Litres","203","units ","0","v28463251","1.2.4","4.5","","","","1"
"1992","Newfoundland and Labrador","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463252","2.1.1","3974","","","","0"
"1992","Newfoundland and Labrador","","Total sales","Spirits","Litres","203","thousands","3","v28463253","2.1.2","1417","","","","0"
"1992","Newfoundland and Labrador","","Total sales","Wine","Litres","203","thousands","3","v28463254","2.1.3","169","","","","0"
"1992","Newfoundland and Labrador","","Total sales","Beer","Litres","203","thousands","3","v28463255","2.1.4","2388","","","","0"
"1992","Newfoundland and Labrador","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463256","2.2.1","8.7","","","","1"
"1992","Newfoundland and Labrador","","Total per capita sales","Spirits","Litres","203","units ","0","v28463257","2.2.2","3.1","","","","1"
"1992","Newfoundland and Labrador","","Total per capita sales","Wine","Litres","203","units ","0","v28463258","2.2.3","0.4","","","","1"
"1992","Newfoundland and Labrador","","Total per capita sales","Beer","Litres","203","units ","0","v28463259","2.2.4","5.3","","","","1"
"1992","Prince Edward Island","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463260","3.1.1","709","","","","0"
"1992","Prince Edward Island","","Total sales","Spirits","Litres","203","thousands","3","v28463261","3.1.2","262","","","","0"
"1992","Prince Edward Island","","Total sales","Wine","Litres","203","thousands","3","v28463262","3.1.3","56","","","","0"
"1992","Prince Edward Island","","Total sales","Beer","Litres","203","thousands","3","v28463263","3.1.4","391","","","","0"
"1992","Prince Edward Island","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463264","3.2.1","7.0","","","","1"
"1992","Prince Edward Island","","Total per capita sales","Spirits","Litres","203","units ","0","v28463265","3.2.2","2.6","","","","1"
"1992","Prince Edward Island","","Total per capita sales","Wine","Litres","203","units ","0","v28463266","3.2.3","0.6","","","","1"
"1992","Prince Edward Island","","Total per capita sales","Beer","Litres","203","units ","0","v28463267","3.2.4","3.8","","","","1"
"1992","Nova Scotia","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463268","4.1.1","5482","","","","0"
"1992","Nova Scotia","","Total sales","Spirits","Litres","203","thousands","3","v28463269","4.1.2","2023","","","","0"
"1992","Nova Scotia","","Total sales","Wine","Litres","203","thousands","3","v28463270","4.1.3","509","","","","0"
"1992","Nova Scotia","","Total sales","Beer","Litres","203","thousands","3","v28463271","4.1.4","2950","","","","0"
"1992","Nova Scotia","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463272","4.2.1","7.5","","","","1"
"1992","Nova Scotia","","Total per capita sales","Spirits","Litres","203","units ","0","v28463273","4.2.2","2.8","","","","1"
"1992","Nova Scotia","","Total per capita sales","Wine","Litres","203","units ","0","v28463274","4.2.3","0.7","","","","1"
"1992","Nova Scotia","","Total per capita sales","Beer","Litres","203","units ","0","v28463275","4.2.4","4.0","","","","1"
"1992","New Brunswick","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463276","5.1.1","3680","","","","0"
"1992","New Brunswick","","Total sales","Spirits","Litres","203","thousands","3","v28463277","5.1.2","1136","","","","0"
"1992","New Brunswick","","Total sales","Wine","Litres","203","thousands","3","v28463278","5.1.3","259","","","","0"
